Name,Ratings,Difficulty,Location,Google map link,Hike Distance (in km),Estimated Time (in min),Distance from Home (in km),Parking Available,Toilets Available,Visited?,Date
Winter hill,⛰️⛰️⛰️⛰️,☠️,Bolton,"https://www.google.co.uk/maps/place/Winter+Hill/@53.6028071,-2.6727675,23393m/data=!3m1!1e3!4m9!1m2!2m1!1sWinter+Hill!3m5!1s0x487b0a22066d39c3:0xca57b9e9beb76d85!8m2!3d53.6298181!4d-2.5158772!16zL20vMDZ0ODcx?entry=ttu&g_ep=EgoyMDI1MDExNC4wIKXMDSoASAFQAw%3D%3D",5.0,90,14.5,🅿️👍,💩,Yes,2024-12-30
Two Lads,⛰️⛰️⛰️,☠️,Bolton,https://www.google.com/maps?sca_esv=9a5028a5910180ce&output=search&q=two+lads&source=lnms&fbs=AEQNm0Aa4sjWe7Rqy32pFwRj0UkWd8nbOJfsBGGB5IQQO6L3JyJJclJuzBPl12qJyPx7ESIJKsuo8DSJKOxlDDbn2sXiOtmsp6I7bcDRDl7IFQXOy1NtpK3OYS5fAsdkdQYhCqHvBV7efT4YpKFFQ6BJqo5xB2kGfqdxp_9Ws-ZTcvkEfzDAUNoaZmSgidNyYLyd7L5vmYZz&entry=mc&ved=1t:200715&ictx=111,3.5,90,14.5,🅿️👍,💩,Yes,2024-12-26
Mom Tor,⛰️⛰️⛰️⛰️⛰️,☠️☠️☠️☠️,Peak District,https://www.google.com/maps/place/mam+tor/data=!4m2!3m1!1s0x487a2d13434da15b:0xb981304dbdab36c?sa=X&ved=1t:155783&ictx=111,4.8,180,71.0,🅿️👍,🚽,Yes - No date,🙅🏻
Rivington Pike - Two Lads - Winter Hill circular route,⛰️⛰️⛰️⛰️,☠️☠️☠️,Bolton,"https://www.google.co.uk/maps/place/Rivington+Pike+Tower/@53.6253197,-2.5029571,6518m/data=!3m1!1e3!4m6!3m5!1s0x487b097f624dd95b:0x56af07835db534d1!8m2!3d53.6193757!4d-2.5412615!16s%2Fg%2F11b5pj2ltj?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D",8.8,180,11.0,🅿️👍,💩,Not Yet,🙅🏻
